10	5	5	9.88	51.9	57.39	72.34
10	5	5	11.45	44.3	52.82	70.83
10	5	5	7.96	39.3	54.55	68.03
11	5	6	10.28	38.2	52.59	84.31
12	6	6	8.85	46.5	55.01	66.61
10	5	5	9.14	48.4	54.75	60.2
11	5	6	10.15	45.7	54.25	48.78
11	5	6	14.39	49	53.14	55.89
10	5	5	10.04	38.8	53.14	57.4
12	6	6	10.46	44.2	55.14	52.68
13	7	6	12.32	40	52.26	59.54
11	6	5	9.75	40.3	50.66	78.23
10	5	5	10.96	38.6	53.13	52.56
10	5	5	13.47	46.5	55.52	76.76
10	5	5	9.17	48.4	55.34	69.89
12	6	6	8.8	43.7	56.29	52.84
12	6	6	11.07	47.1	54.25	58.58
10	5	5	9.03	51.4	57.49	64.06
8	4	4	13.95	44.5	50.13	59.77
9	4	5	11.76	54.3	56.86	56.72
13	6	7	9.59	40.9	52.98	62.63
10	5	5	13.56	50.9	56.04	70.63
10	5	5	7.54	35.6	52.58	59.8
12	6	6	17.15	50.2	52.38	59.74
10	4	6	8.68	45.7	54.73	58.04
10	5	5	9.62	48.4	56.95	56.66
12	6	6	9.88	45.3	55.4	65.64
10	5	5	10.98	43.2	53.1	58.68
10	5	5	12.28	46.6	53.83	60.3
10	5	5	7.44	44.7	57.26	54.56
11	5	6	9.24	42.5	54.46	55.48
11	5	6	9.05	45.3	53.77	62.32
11	5	6	11.01	50.1	54.46	71.74
10	5	5	12.12	43.9	53.19	64.54
10	5	5	10.12	44	53.33	52.92
10	5	5	8.28	55	55.93	74.18
12	6	6	11.14	47.2	53.45	67.66
11	5	6	12.61	47.6	52.92	54.57
11	6	5	11.28	45.7	52.3	65.8
13	7	6	11.84	41.3	54.5	53.88
10	5	5	9.66	47.8	53.68	61.47
10	5	5	9.29	49.8	56.56	47.85
11	6	5	10.46	47.1	56.25	75.16
12	6	6	8.84	46.7	54.27	43.65
10	5	5	12.62	48.4	53.22	58.62
9	5	4	16.96	45.5	50.78	78.17
11	6	5	10.82	41.8	52.39	62.49
10	5	5	9.3	49.6	54.07	46.2
11	5	6	13.99	48	51.7	58.72
12	6	6	9.41	45.6	55.3	59.22
13	6	7	11.4	40.7	52.08	50.68
9	5	4	13.11	47.4	52.6	59.13
9	4	5	14.76	57.1	57.62	50.2
10	5	5	12.21	51.5	55.52	75.22
12	6	6	11.14	43.8	53.56	76.1
12	6	6	7.45	41.7	54.28	49.95
10	5	5	13.74	48.3	53.07	79.4
12	6	6	8.13	48.1	56.08	61.45
9	4	5	9.5	39.9	53.06	58.84
10	5	5	8.83	46.4	55.43	60.19
11	5	6	9.23	45.2	55.15	79.52
9	4	5	12.19	45	51.54	62.92
12	6	6	13.28	44.8	53.04	60.28
12	6	6	14.74	45.5	52.12	73.78
12	6	6	9.23	44.1	55.03	49.46
10	5	5	11.42	41.3	51.94	83.03
11	5	6	8.73	36.9	52.36	79.36
10	5	5	9.23	42.6	53.91	52.17
11	6	5	13.26	45	52.74	61.56
11	6	5	11.48	46.7	56.38	76.93
10	5	5	9.94	46.2	54.65	52.97
12	6	6	12.51	46.9	52.08	41.67
